ID_FORNECEDOR;Referencia;Aplicacao;Unidade;Preco_cmp;Qtd_Emb;Qtd_Estoque;Ativo;Cod_Barra;MaxDesc;Preco_vda
4;CT AVX13X990;COR.V ACD LOG/POINT/ECV/VER 1.6/1.8/2.0 92>96;PC;0;1;39;S;7898447715433;5;0
4;CT AVX13X1000;COR.V HILUX 3.0 TURBO DIESEL 97>;PC;0;1;27;S;7898447715440;5;0
4;CT AVX13X1015;COR.V MBB 180D OM616 2.4 DIES.94>96 MF/PERK.;PC;0;1;11;S;7898447715457;5;0
4;CT AVX13X1030;COR.V ACD TIPO 1.6 93>97;PC;0;1;11;S;7898447715471;5;0
4;CT AVX13X1050;COR.V C10/14 64>84 MBB OM355/HILUX/SCAN.C/AR.;PC;0;1;3;S;7898447715488;5;0
4;CT AVX13X1060;COR.V DH F4000 84>87;PC;0;1;16;S;7898447715495;5;0
4;CT AVX13X1138;COR.V BESTA 2.7 DIESEL 94> TDS(VENTILADOR);PC;0;1;28;S;7898447715532;5;0
4;CT AVX13X1145;COR.V BESTA 2.7 DIESEL 94> TDS;PC;0;1;0;S;7898447715549;5;0
4;CT AVX13X1150;COR.V MBB 1619/2220 0355 5/6CC TDS;PC;0;1;24;S;7898447715556;5;0
4;CT AVX13X1175;COR.V ACD GOL/VOY/PAR 84>/3-ESC/D.REY AP1.8;PC;0;1;24;S;7898447715587;5;0
4;CT AVX13X1200;COR.V S10/BLAZ 2.2 95 S/AR S/DH.;PC;0;1;25;S;7898447715600;5;0
4;CT AVX13X1225;COR.V SCANIA T142/R-142H S/ACD 81>;PC;0;1;12;S;7898447715617;5;0
4;CT AVX13X1235;COR.V DH BESTA 2.7 DIESEL 94>;PC;0;1;17;S;7898447715624;5;0
4;CT AVX13X1250;COR.V VALMET TDS/MF 365/65X/65R/A-C 40/60;PC;0;1;7;S;7898447715631;5;0
4;CT AVX13X1260;COR.V VERAN.S/AR/BON.4.1 MAX/MBBL608/708;PC;0;1;1;S;7898447715648;5;0
4;CT AVX13X1275;COR.V MBB L-914/BON/VERAN/HILUX 2.4 92>96;PC;0;1;26;S;7898447715655;5;0
4;CT AVX13X1285;COR.V D60/70/80/90 70>84;PC;0;1;13;S;7898447715662;5;0
4;CT AVX13X1300;COR.V MBB L1318>LK2318 709/912 F11/12/13000;PC;0;1;20;S;7898447715679;5;0
4;CT AVX13X1325;COR.V MF 295 84>/SCAN.L/LK 140/141 MB352/366;PC;0;1;13;S;7898447715686;5;0
4;CT AVX13X1350;COR.V ACD OPALA 6CC 81/92.D-60 A 90 90>93;PC;0;1;40;S;7898447715709;5;0
4;CT AVX13X1375;COR.V BA F4000 84/87 MF5275/90 TDS PERK.4C;PC;0;1;40;S;7898447715716;5;0
4;CT AVX13X1400;COR.V TRATOR FORD 4600 A 6600 VOLVO B12 94>;PC;0;1;6;S;7898447715723;5;0
4;CT AVX13X1425;COR.V SCANIA T142/R-142H C/ACD 81> MF C/PERK;PC;0;1;28;S;7898447715747;5;0
4;CT AVX13X1450;COR.V FORD CARGO 85> TODOS;PC;0;1;27;S;7898447715754;5;0
4;CT AVX13X1475;COR.V CBT/MBB MT.OM 352/VOLVO 1220 81>;PC;0;1;72;S;7898447715761;5;0
4;CT AVX13X1500;COR.V ACD TOPIC 2.7DIES.93>/SCAN 112/113 93>;PC;0;1;15;S;7898447715778;5;0
4;CT AVX13X1525;COR.V VOLVO NL 10/310/320/340 MF296/5650/620;PC;0;1;16;S;7898447715785;5;0
4;CT AVX13X1550;COR.V SCANIA T112/2113 90>/T113R/R113H 94>;PC;0;1;24;S;7898447715792;5;0
4;CT AVX13X1575;COR.V MBB 1630/1625 - SCANIA 111/T112 ALT.BX;PC;0;1;30;S;7898447715808;5;0
4;CT AVX13X1600;COR.V SCANIA T112/S112 ALT.EM CIMA 82>89;PC;0;1;4;S;7898447715815;5;0
4;CT AVX13X1900;COR.V SCANIA K/L-113 84> 112 87>C/INTERC.;PC;0;1;8;S;7898447715921;5;0
4;CT 3PK780;COR.POLY V TEMPRA/TURBO 2.0 8V 92>94;PC;0;1;7;S;7898447711916;5;0
4;CT 3PK905;COR.POLY V DH PAL/WEENK/SIE 8/16V 2000>;PC;0;1;124;S;7898447717789;5;0
4;CT 4PK760;COR.POLY V UNO/PRE/ELB 1.6 95/97 ACD;PC;0;1;22;S;7898447713842;5;0
4;CT 4PK775;COR.POLY V PAL/STR.1.5 ACD ATOS/CIVIC;PC;0;1;14;S;7898447717697;5;0
4;CT 4PK790;COR.POLY V CIVIC 1.6 16V 97> VITARA 91>;PC;0;1;25;S;7898447712029;5;0
4;CT 4PK815;COR.POLY V DH CIVIC 16V 91>96/PEUG205 AR 92>;PC;0;1;17;S;7898447712036;5;0
4;CT 4PK825;COR.POLY V FIESTA ENDURA 1.3 94>96 ACD;PC;0;1;2;S;7898447712043;5;0
4;CT 4PK830;COR.POLY V CIVIC 1.6 SOHC 95>ACD;PC;0;1;21;S;7898447712050;5;0
4;CT 4PK856;COR.POLY V PAL/WEK 1.6 98>/DOBLO ACD;PC;0;1;76;S;7898447717734;5;0
4;CT 4PK860;COR.POLY V FIESTA 1.3 94>96 C/DH COROLA AR;PC;0;1;26;S;7898447717741;5;0
4;CT 4PK885;COR.POLY V KIA/AUDI/MAZDA/SUBARU/SEPHIA;PC;0;1;17;S;7898447712111;5;0
4;CT 4PK894;COR.POLY V BMW 316/318I 1.6/8 16V 93> ACD;PC;0;1;3;S;7898447719080;5;0
4;CT 4PK905;COR.POLY V EXEL/SHEPIA/ACCENT 94>;PC;0;1;11;S;7898447719189;5;0
4;CT 4PK925;COR.POLY V MAZDA 626 TODOS 92>;PC;0;1;9;S;7898447717833;5;0
